BJD RV eRV
2452939.69848646 -0.133539391527847 0.363877091274
2452944.66967575 -1.12649155567487 0.324300137552
2452946.77623167 0.328690611648199 0.348018147664
2452947.64018224 -0.824988359841882 0.327999848022
2452948.71264704 -0.297875610896881 0.434119379586
2452949.67132067 -1.63407159555209 0.275587282868
2452949.67220607 -1.80783454312586 0.293854348656
2452949.67311193 -1.07304240895428 0.28041607932
2453039.52382203 2.03675741699772 0.3790854191
2453039.52485865 1.36794858578287 0.367757362676
2453039.52595082 2.42100110138927 0.412016894893
2453267.77023317 -3.77624641672264 0.247038169916
2453267.77126412 -4.37214994449278 0.244351506277
2453267.7723451 -3.58256670006267 0.24393086769
2453267.77338633 -4.53719404050389 0.243552752385
2453267.77444195 -4.04256503453144 0.243374856607
2453267.77549609 -3.69547978165247 0.244675572364
2453267.77654454 -4.01086079457309 0.249420791176
2453267.77761216 -3.75589522942937 0.24400658348
2453267.77867348 -4.27529286186837 0.246222375163
2453267.77973812 -3.39472779781136 0.246776524871
2453280.55091564 -2.17574590769073 0.367718497427
2453281.55266365 -1.15502476254551 0.343626190672
2453281.55356688 -2.28917498569172 0.336002561951
2453281.55454474 -2.17642572622526 0.348707076666
2453281.55542761 -1.55760986765654 0.336794937592
2453281.5563482 -3.88405531761782 0.340376496238
2453281.55729786 -3.26613412353436 0.309515163699
2453281.55822538 -1.36524096093171 0.361909937786
2453281.55918896 -3.16990224097435 0.354130627557
2453281.55994089 -3.07929146746255 0.670092649529
2453281.56103105 -1.98217303154024 0.334107702285
2453281.56195419 -2.98569042437066 0.341571099954
2453281.5627447 -2.51753017365218 0.514793302062
2453281.56383242 -1.47036773226046 0.324153128627
2453281.56472766 -3.94605320319533 0.439362800607
2453281.56569375 -2.23319122248904 0.3169733828
2453281.56663067 -1.69729418630823 0.306649432433
2453281.56755288 -4.35650889277167 0.329560999447
2453281.5684883 -2.59093972440087 0.320171883429
2453281.56943936 -3.78954922553748 0.317306140459
2453281.57035325 -4.27550517827103 0.290442030465
