BJD RV eRV
2456552.01714569 -4.93244010775743 1.38
2456555.97479918 -5.7768328207585 1.35
2456555.98570263 -5.17957538661176 1.39
2456559.94905854 -2.92595297807748 1.18
2456559.95985697 -6.99677345719283 1.35
2456586.91927595 4.86872820899134 1.57
2456586.93024823 -0.534550390410004 1.64
2456603.79539475 -1.43959359571045 3.64
2456603.80494387 -3.47557235932254 3.59
2456621.9755202 8.25757934415105 1.57
2456621.98650315 10.3967434147937 1.52
2456680.79210124 1.62804431330551 2.01
2456680.80274871 -2.43999264260856 1.81
2456680.81389415 4.97567674338643 1.85
2456914.7149758 19.3629017024414 3.67
2457045.87229259 -9.03481881299194 3.28
2457430.68204826 -0.35586192975461 1.83
2457440.62963372 -0.38132997543471 1.71
2457481.66427372 -3.16431614676549 1.89
2457481.6763922 3.51007656522961 1.68
2457481.68965672 -2.41761232867248 1.84
2457481.70238823 -0.987430856604988 2.34
2457481.72057194 4.98307642641157 3.86
2457481.73925267 -1.26175859233808 2.97
2457481.75663835 5.89635399996041 2.99
2457481.76813179 -3.73382684262833 1.9
2457481.78604849 1.34008003595955 2.68
2457481.79706792 0.485663623441724 1.79
2457481.80807534 -0.331941033553449 1.89
2457481.8201128 1.18159119368102 2.9
2457481.96317423 5.83829172353398 2.55
2457484.79458165 3.82566241596214 2.87
2457497.76219031 -2.66015499572813 4.18
2457497.77605523 0.677786174160474 2.17
2457497.79090514 -4.81127318301196 1.93
2457497.80448106 -1.72111306270722 1.95
2452850.11972241 -22.9605949642337 1.52
2452851.12122198 -27.2001875331807 1.58
2452856.0989175 -25.5249622142601 1.5
2453239.09962928 0.718421724652217 1.32
2453961.09587872 18.0145006518323 1.11
2454398.94896999 -22.4463249476121 1.65
2455078.05736011 -12.2259093016637 1.26
2455110.9284782 -10.4581390885323 2.71
2455134.05980725 -7.94348790340246 1.58
2455231.79852683 -17.3833846993966 1.72
2455439.05352626 -14.6876346397657 2.13
2455440.10618483 -10.8997135975005 2.1
2455456.00076693 17.8849235429116 2.12
2455464.95422379 28.7010823322707 1.93
2455521.94216206 12.5399580597796 1.93
2455584.73333176 -14.8861336440514 1.38
2455633.72290832 -25.3409296250611 1.39
2455798.12777143 -7.19451094514625 1.32
2455902.96304995 -5.98405739791542 1.66
2455928.75340513 7.08284448050472 1.53
2456148.12921907 23.2978394019447 1.94
2456174.07069696 49.7264699932166 2.21
2456203.04251866 29.8400799512074 1.54
2456639.81227334 -13.891057736746 1.7
2456674.72526519 -8.60812165322386 1.79
2456676.7922273 -1.37230472318879 1.45
2456881.09163064 46.5719295448253 2.05
