BJD RV eRV
2456552.01714523 -4.75202561227343 1.38
2456555.97479871 -5.60315922941118 1.35
2456555.98570216 -5.00592053395485 1.39
2456559.94905806 -2.75910852582274 1.18
2456559.95985649 -6.82994791005149 1.35
2456586.9192754 4.98729549397012 1.57
2456586.93024767 -0.416003674730746 1.64
2456603.79539415 -1.35344361958369 3.64
2456603.80494327 -3.38944148800874 3.59
2456621.97551956 8.30616589333385 1.57
2456621.98650251 10.4453062992991 1.52
2456680.7921005 1.52107533568596 2.01
2456680.80274797 -2.54699759985124 1.81
2456680.81389341 4.86863410905244 1.85
2456914.71497654 20.1351058999662 3.67
2457045.87229283 -8.53994669285748 3.28
2457430.68204752 -0.683604080106306 1.83
2457440.62963301 -0.755822671933856 1.71
2457481.66427486 -3.92706164301853 1.89
2457481.67639334 2.7120028720401 1.68
2457481.68965787 -3.25388583218046 1.84
2457481.70238937 -1.85991270985869 2.34
2457481.72057308 4.05964672589107 3.86
2457481.73925381 -2.23660144553833 2.97
2457481.75663949 4.87449446455503 2.99
2457481.76813294 -4.78633346273273 1.9
2457481.78604963 0.240480980068241 2.68
2457481.79706906 -0.642490340253062 1.79
2457481.80807648 -1.48831151020204 1.89
2457481.82011395 -0.00528784111702407 2.9
2457481.96317537 4.31551706579376 2.55
2457484.7945828 0.790982032078318 2.87
2457497.76219141 -2.70766017165943 4.18
2457497.77605633 0.631672254751948 2.17
2457497.79090624 -4.85589948972893 1.93
2457497.80448216 -1.76438176266652 1.95
2452850.11972279 -23.6354823196471 1.52
2452851.12122235 -27.8773812124782 1.58
2452856.09891786 -26.2134794569047 1.5
2453239.09962857 -0.941082004877899 1.32
2453961.09587801 15.972740205194 1.11
2454398.94896979 -23.4345981276183 1.65
2455078.05735995 -13.1954619601802 1.26
2455110.92847793 -11.4811252505024 2.71
2455134.0598069 -9.00476294273631 1.58
2455231.79852622 -18.6303664238567 1.72
2455439.05352723 -14.7006399572638 2.13
2455440.1061858 -10.9223326307292 2.1
2455456.00076787 17.7389612644547 2.12
2455464.95422471 28.4983848789452 1.93
2455521.94216281 12.0838234597531 1.93
2455584.73333228 -15.5194434978876 1.38
2455633.72290866 -26.0797098373278 1.39
2455798.12777117 -8.21162507263398 1.32
2455902.96304938 -7.18308840112786 1.66
2455928.7534045 5.8294022666505 1.53
2456148.12922003 23.0666510119881 1.94
2456174.07069785 49.3868852792584 2.21
2456203.04251946 29.3957251002157 1.54
2456639.81227266 -15.1828513346554 1.7
2456674.72526445 -9.99521645630011 1.79
2456676.79222656 -2.76601295402725 1.45
2456881.09163149 46.13840818873 2.05
