BJD RV eRV
2455666.78219857 12.4500512491104 0.89
2455666.78317061 13.4710336333828 0.96
2455666.78413165 13.2013936509884 0.91
2455666.78510369 13.3426459873554 1.04
2455666.78606373 14.6038454475183 0.89
2456087.64828479 -11.239664837356 0.58
2456087.65008975 -10.0388628496312 0.64
2456087.65123572 -10.8784920357266 0.61
2456087.65242769 -9.17840697333304 0.58
2456087.65366666 -9.73860131250331 0.56
2456087.65488164 -8.45830409570954 0.59
2456089.55269492 -11.9546481728521 0.64
2456089.55404888 -13.4341418500208 0.57
2456089.55804178 -12.8402467722153 0.61
2456089.56165269 -13.0468759207979 0.61
2456089.56432662 -13.5754955443917 0.63
2456089.56690756 -14.5129899625372 0.59
2456089.56856252 -13.1321844703216 0.59
2456089.57007848 -11.430907983271 0.63
2456089.57142145 -13.3005740856133 0.59
2456089.57257842 -13.1488036911214 0.59
2456359.81084608 -31.0348897414915 1.08
2456359.81306924 -32.6028840861582 1.01
2456359.81424932 -33.3697489108563 0.96
2456359.81592744 -29.1971303768478 0.91
2456359.81766456 -30.9862546019649 1.05
2456503.57822088 43.4259620644843 1.03
2456503.57928581 36.9853495848911 1.06
2456503.58033974 117.863271863509 1.42
2456503.58143866 23.5835826724033 0.99
2458592.70999691 9.48722339250162 0.77
2458592.71091095 10.2091202708798 0.86
2458592.71166298 9.21982920733535 0.81
2458592.71242701 11.2712179840837 0.77
2458592.71319104 8.91187977937443 0.78
2458592.71394307 10.6834567982642 0.82
2458592.7146961 10.8128195558384 0.81
2458592.71544812 9.18409272106328 0.78
2458592.71621215 9.98509731624108 0.8
2458592.71696418 9.51614301377413 0.78
2458675.60359066 5.8243593367406 0.68
2458675.60436662 5.34447454158362 0.7
2458675.60511858 5.01466926675312 0.68
2458675.60588254 6.95419317303822 0.67
2458675.60664649 6.48431979410088 0.72
2458675.60741045 6.34406873401531 0.69
2458675.60819741 5.69460906367021 0.67
2458675.60896137 6.10373497707405 0.71
2458675.60972533 5.61353776122996 0.66
2458675.61050028 5.23435421197064 0.69
2458676.46170389 8.77324406747721 0.7
2458676.46246785 7.09461642788665 0.67
2458676.46323181 7.42471196095357 0.71
2458676.46398377 10.2557617448765 0.77
2458676.46473572 19.686614548933 0.92
2458676.46548868 12.1368537544513 0.84
2458676.46622864 15.0276388682032 0.86
2458676.4669926 17.0687550270195 0.88
2458676.46774556 10.0485802953881 0.83
2458676.46850952 13.6784303369677 0.78
2458677.46550243 8.33607304544057 0.66
2458677.46627839 8.56639683783942 0.69
2458677.46706535 4.24674004478584 0.65
2458677.4678403 5.62825744094152 0.68
2458677.46862726 6.03936668265305 0.65
2458677.46941422 5.12938598471374 0.65
2458677.47021317 4.94997716214493 0.66
2458677.47098813 5.61124683245362 0.67
2458677.47179808 6.14180203320575 0.66
2458677.47257404 5.39162265210689 0.66
2458678.52703995 3.64028083034646 0.64
2458678.52796589 4.35122469056296 0.62
2458678.52874185 3.69022631753251 0.66
2458678.52950581 4.31045510245895 0.68
2458678.53028076 4.9515214212588 0.71
2458678.53105672 2.43098274317163 0.74
2458678.53183168 2.72176213809507 0.68
2458678.53260763 4.05198433145415 0.69
2458678.53338259 5.19256746716565 0.65
2458678.53414654 4.47298274326022 0.68
2458679.46380475 2.457180964484 0.66
2458679.4646027 3.27858894723977 0.64
2458679.46537866 2.4085779133602 0.63
2458679.46613061 3.71013520348424 0.62
2458679.46688257 4.23078178640571 0.63
2458679.46762353 1.49140298253769 0.64
2458679.46838748 3.21097863371688 0.67
2458679.46913944 3.07201291616366 0.63
2458679.4699034 2.50286986627907 0.66
2458679.47064436 1.773169254393 0.68
2458680.46482318 -0.407397884933744 0.62
2458680.46564514 6.58321819308549 0.7
2458680.46639709 6.77463625770542 0.67
2458680.46714905 5.6952260920043 0.62
2458680.46790201 6.20456704999015 0.67
2458680.46865396 5.64556279721 0.65
2458680.46940592 4.26679308706298 0.63
2458680.47015888 3.61683371222534 0.65
2458680.47092183 4.83868564373915 0.64
2458680.47167479 1.40828618525848 0.62
2458681.46109618 1.61299809300544 0.58
2458681.46206812 1.3035892537664 0.58
2458681.46284408 1.59390901449297 0.6
2458681.46360803 0.214552441291744 0.58
2458681.46437099 2.0457779325443 0.61
2458681.46512394 2.66555030160816 0.62
2458681.4658879 0.375708771171048 0.58
2458681.46665085 1.74751733697485 0.57
2458681.46741481 0.93811909699798 0.6
2458681.46816777 0.787834795588424 0.59
2458682.4738605 1.11235785945246 0.57
2458682.47471645 0.623350336634758 0.54
2458682.4754804 0.493914583104925 0.61
2458682.47623336 2.1129682077044 0.58
2458682.47698531 0.204069668143347 0.62
2458682.47773727 1.97479092946014 0.62
2458682.47850122 1.47576365168788 0.57
2458682.47925418 -0.125666342359182 0.61
2458682.48000613 -0.353962362492894 0.57
2458682.48075809 1.65644595872436 0.56
2458683.4899689 2.39068459492773 0.56
2458683.49081385 2.2401113252854 0.56
2458683.49425065 0.842705494971597 0.57
2458683.4950266 2.8628195902711 0.56
2458683.49579056 1.78250858385945 0.54
2458683.49655451 1.27342983075141 0.58
2458683.49729446 2.07430683054554 0.61
2458683.49807042 2.36440156199387 0.58
2458683.49884537 1.72524804516797 0.54
2458683.49960933 2.06531518152406 0.57
2458684.46399617 2.67055986145715 0.51
