BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2450000 -0.00227720908833689 2450000 -0.00238350568803053 -9018.06585184971 0.000030081029763096
2450010 -0.00272585569217128 2450010 -0.00283230733688534 -11954.1492015049 0.000039874749622637
2450020 -0.00306930746219647 2450020 -0.00317591415356201 -15296.1668991663 0.0000510225207172033
2450030 -0.00329612076944302 2450030 -0.00340288250926855 -18896.5494629458 0.0000630321042397464
2450040 -0.00339919264096871 2450040 -0.00350610943117285 -22670.8816862967 0.0000756219213703391
2450050 -0.00337382671897276 2450050 -0.00348089856154698 -26523.1180475015 0.0000884715987334861
2450060 -0.00322029226041952 2450060 -0.00332751915735109 -30279.4633584672 0.000101001417982527
2450070 -0.00294308523482101 2450070 -0.0030504671880275 -33863.46223274 0.000112956351399407
2450080 -0.00254964093254466 2450080 -0.00265717794382836 -37148.2993517851 0.000123913388614283
2450090 -0.00204100561588614 2450090 -0.00214869768703311 -39994.2496030142 0.000133406456819585
2450100 -0.00145563408514946 2450100 -0.00156348121734949 -42358.5960912527 0.000141293067790427
2450110 -0.000799672887811648 2450110 -0.000907675082159264 -44128.710144323 0.000147197532715526
2450120 -0.0000943545720967753 2450120 -0.000202511829357263 -45250.5629588425 0.000150939630905733
2450130 0.000638907704130668 2450130 0.000530595383524031 -45731.4263181755 0.000152543618419432
2450140 0.00137764701651626 2450140 0.00126917963247856 -45510.9690930776 0.000151808252271235
2450150 0.00209874484515843 2450150 0.00199012239796319 -44635.596475594 0.000148888323520113
2450160 0.00278129915055003 2450160 0.00267252164079487 -43154.9089678164 0.000143949281632083
2450170 0.00340485395869964 2450170 0.00329592138729937 -41076.0276072363 0.000137014879831421
2450180 0.0039511376259381 2450180 0.00384204999409082 -38519.5745139924 0.000128487470201777
2450190 0.00440543911935381 2450190 0.00429619642848573 -35551.8433780777 0.000118588184690349
2450200 0.00475460931596737 2450200 0.00464521156770856 -32241.0372020461 0.000107544524025505
2450210 0.00498957736115726 2450210 0.00488002455727845 -28735.5226078827 0.0000958513859874444
2450220 0.00510487560843015 2450220 0.00499516775078685 -25094.2097606523 0.0000837052737352462
2450230 0.00509727170080645 2450230 0.00498740879130428 -21427.5554007644 0.0000714746312956427
2450240 0.00496824830236653 2450240 0.00485823034288812 -17868.2725244902 0.0000596021415738557
2450250 0.00472199967924325 2450250 0.0046118266716062 -14458.8475143034 0.0000482295238871666
2450260 0.00436532277718643 2450260 0.00425499472310295 -11326.5383778451 0.0000377812652573306
2450270 0.00390920782621399 2450270 0.00379872472722589 -8681.88341755022 0.0000289596458679098
2450280 0.00336608510071339 2450280 0.00325544695816975 -6186.66497338234 0.0000206364930414038
2450290 0.00275103519401627 2450290 0.00264024200903233 -4323.820197074 0.0000144227117183648
2450300 0.00208189505598763 2450300 0.00197094682940206 -2998.42292784099 0.0000100016623094668
2450310 0.0013766808335577 2450310 0.00126557756592985 -2233.5475246493 0.00000745031259141715
2450320 0.000655585216522812 2450320 0.000544326908098919 -2101.13135894917 0.00000700861980640344
2450330 -0.0000605350089638469 2450330 -0.000171948358260926 -2566.04659544715 0.00000855941010846628
2450340 -0.000751752593946212 2450340 -0.000863320984502598 -3639.96619019487 0.0000121416202878422
2450350 -0.00139718364465905 2450350 -0.00150890707718468 -5326.89617053539 0.0000177686130133914
2450360 -0.00197769683085687 2450360 -0.00208957530635829 -7536.30533414812 0.0000251384086992212
2450370 -0.00247606822760056 2450370 -0.00258810174735141 -10254.5065952535 0.000034205352141492
2450380 -0.00287602335487141 2450380 -0.00298821192039765 -13405.2210273193 0.00004471500422909
2450390 -0.0031652628244336 2450390 -0.00327760643745189 -16862.4739608598 0.000056247158695566
2450400 -0.00333417100007206 2450400 -0.00344666966244817 -20575.6299849501 0.0000686329139906183
2450410 -0.00337613843108437 2450410 -0.00348879214478654 -24400.1566510174 0.0000813901617598978
2450420 -0.00328979734836064 2450420 -0.00340260611537832 -28207.9971414827 0.0000940917504385075
2450430 -0.00307671331849523 2450430 -0.00318967714079358 -31918.3653105619 0.000106468206450216
2450440 -0.00274275366052579 2450440 -0.00285587253997903 -35360.9449570811 0.000117951416099604
2450450 -0.00229861679537024 2450450 -0.00241189073368668 -38446.6459535128 0.000128244206708872
2450460 -0.00175727955503638 2450460 -0.00187070855372314 -41092.4084607764 0.000137069520477318
2450470 -0.00113581418267494 2450470 -0.00124939824297441 -43162.7883409638 0.000143975564391829
2450480 -0.000453950801379784 2450480 -0.000567689924228453 -44639.0052939247 0.000148899694114135
2450490 0.000267792309170478 2450490 0.000153898123154267 -45467.1267748857 0.000151662010039244
2450500 0.00100646964683911 2450500 0.000892420397392792 -45595.5511979857 0.000152090387804171
2450510 0.00173954794316974 2450510 0.00162534363038012 -45078.5322182589 0.000150365798122443
2450520 0.00244536352467506 2450520 0.00233100414896486 -43905.4863919768 0.000146452938425745
2450530 0.00310216581342834 2450530 0.00298765137555752 -42121.4600357882 0.000140502067052628
2450540 0.00369127352414612 2450540 0.0035766040251643 -39826.6116221097 0.000132847276705372
2450550 0.00419595987641579 2450550 0.00408113531763193 -37048.4926915984 0.000123580469431284
2450560 0.00460154510854264 2450560 0.00448656549149333 -33905.8289379961 0.00011309767151646
2450570 0.00489777153727017 2450570 0.00478263686365104 -30505.6246535106 0.000101755810860027
2450580 0.0050766194002939 2450580 0.00496132967192493 -26902.5483331539 0.0000897372419327302
2450590 0.00513356026021191 2450590 0.00501811547898329 -23247.903179944 0.0000775466578947226
2450600 0.00506841323176686 2450600 0.00495281339957158 -19624.5515773811 0.000065460457905786
2450610 0.00488300347183177 2450610 0.00476724859053453 -16106.9598081667 0.0000537270347480412
2450620 0.00458325235208709 2450620 0.00446734242346078 -12837.224546658 0.0000428203719076148
2450630 0.00417831249755598 2450630 0.00406224752323158 -9860.02742881656 0.0000328895112792216
2450640 0.0036905514004456 2450640 0.00357433138170726 -7262.39207529521 0.0000242247324157008
2450650 0.0031114305099013 2450650 0.00299505544816557 -5144.57737997251 0.0000171604629892741
2450660 0.0024686974870859 2450660 0.0023521673833391 -3512.91301698586 0.000011717816520207
2450670 0.00177979946455778 2450670 0.0016631143195157 -2452.02117836973 0.00000817906225769605
2450680 0.00106481244021936 2450680 0.000947972254286524 -1998.22930589714 0.0000066653755042001
2450690 0.000343539419475993 2450690 0.000226544192749868 -2128.20065314937 0.00000709891325267886
2450700 -0.000363486220145261 2450700 -0.000480636487885585 -2897.0857616272 0.00000966363790788627
2450710 -0.00103510289359436 2450710 -0.0011524082028979 -4267.25622697803 0.0000142340346233061
2450720 -0.00165217828468028 2450720 -0.00176963863639272 -6192.09394518241 0.0000206546021420673
2450730 -0.00219581211068005 2450730 -0.00231342750594012 -8670.31749395852 0.0000289210660995298
2450740 -0.00264896646791114 2450740 -0.00276673690812173 -11593.0812905972 0.0000386703567125668
2450750 -0.00299804012965355 2450750 -0.00311596561642845 -14895.2685410865 0.0000496852677364101
