day time comp ra dec era edec
14-Oct-2018  13:38:19.0  A  219.860763250  -60.832171539   0.0039   0.0035  
14-Oct-2018 13:38:19.0 B 219.859663542  -60.830951061   0.0040  0.0039 
15-Jul-2019  23:14:41.3 A 219.858859933 -60.832264944   0.0007  0.0010  
15-Jul-2019  23:14:41.3  B 219.857984904 -60.830881649   0.0007  0.0010  
16-Jul-2019 01:15:31.1 A 219.858854542 -60.832262378   0.0019  0.0014  
16-Jul-2019  01:15:31.1  B 219.857979000 -60.830879128   0.0018  0.0013 
19-Jul-2019 23:31:14.5 A 219.858829571 -60.832252293   0.0004  0.0007  
19-Jul-2019  23:31:14.5  B 219.857957646 -60.830866720   0.0004  0.0007  
20-Jul-2019 01:02:29.9 A 219.858827083 -60.832253354   0.0005  0.0005  
20-Jul-2019  01:02:29.9  B  219.857955246 -60.830867652   0.0006  0.0007  
12-Aug-2019  23:10:35.2 A  219.858667583  -60.832185858   0.0068  0.0057  
12-Aug-2019  23:10:35.2  B 219.857814792  -60.830785642   0.0071  0.0061  
   13-Aug-2019  00:44:57.6  A  219.858669208  -60.832186997   0.0049  0.0037  
13-Aug-2019  00:44:57.6  B  219.857817458  -60.830787197   0.0047  0.0035  
   25-Aug-2019  23:33:45.5  A 219.858615833 -60.832153722   0.0035  0.0020  
25-Aug-2019  23:33:45.5   B  219.857773917  -60.830746378   0.0043  0.0024  
   26-Aug-2019  20:07:30.6  A  219.858613375  -60.832152358   0.0016  0.0016  
26-Aug-2019  20:07:30.6   B  219.857772625  -60.830744378   0.0018  0.0018   
